,kleppesto,laksevag,bryggen,sandviken
kleppesto,0.0,2.4739240202509434,5.35874566164186,4.326219866261922
laksevag,2.4739240202509434,0.0,3.4769579345666006,4.04625927124738
bryggen,5.35874566164186,3.4769579345666006,0.0,3.1340834126459822
sandviken,4.326219866261922,4.04625927124738,3.1340834126459822,0.0
