,kleppesto,laksevag,bryggen,sandviken,hegreneset
kleppesto,0.0,2.4739240202509434,5.35874566164186,4.326219866261922,4.853752602831038
laksevag,2.4739240202509434,0.0,3.4769579345666006,4.04625927124738,4.227533030484997
bryggen,5.35874566164186,3.4769579345666006,0.0,3.1340834126459822,2.6570317646621424
sandviken,4.326219866261922,4.04625927124738,3.1340834126459822,0.0,0.7214464186972808
hegreneset,4.853752602831038,4.227533030484997,2.6570317646621424,0.7214464186972808,0.0
