,kleppesto,laksevag,bryggen,sandviken
kleppesto,0.0,4.947848040501887,10.71749132328372,8.652439732523844
laksevag,4.947848040501887,0.0,6.953915869133201,8.09251854249476
bryggen,10.71749132328372,6.953915869133201,0.0,6.2681668252919645
sandviken,8.652439732523844,8.09251854249476,6.2681668252919645,0.0
