,kleppesto,laksevag,bryggen,sandviken
kleppesto,0.0,2.6659501085787185,5.751097409838151,4.7812136770388385
laksevag,2.665950108578713,0.0,4.30575097116253,4.305293385773143
bryggen,5.751097409838242,4.305750971162528,0.0,3.4144359863558265
sandviken,4.781213677038856,4.305293385773143,3.4144359863558287,0.0
