,kleppesto,laksevag,bryggen,sandviken
kleppesto,0.0,5.331900217157437,11.502194819676301,9.562427354077677
laksevag,5.331900217157426,0.0,8.61150194232506,8.610586771546286
bryggen,11.502194819676484,8.611501942325056,0.0,6.828871972711653
sandviken,9.562427354077712,8.610586771546286,6.828871972711657,0.0
