,kleppesto,laksevag,bryggen,sandviken,hegreneset
kleppesto,0.0,2.6659501085787185,5.751097409838151,4.7812136770388385,5.08273383083849
laksevag,2.665950108578713,0.0,4.30575097116253,4.305293385773143,4.1342821534710845
bryggen,5.751097409838242,4.305750971162528,0.0,3.4144359863558265,2.835108454688956
sandviken,4.781213677038856,4.305293385773143,3.4144359863558287,0.0,1.1639671261449906
hegreneset,5.082733830838447,4.134282153471078,2.8351084546889576,1.16396712614499,0.0
