tipo,minuto,barco_id,decision,desde,hasta,ocupacion,unidad_id,par,tiempo_espera,tiempo_viaje
baja,400.0,barco_2,,,,,escalon_2_00036_p5,"('sandviken', 'bryggen')",,8.0
baja,400.0,barco_2,,,,,escalon_2_00036_p6,"('sandviken', 'bryggen')",,8.0
baja,400.0,barco_2,,,,,escalon_2_00036_p7,"('sandviken', 'bryggen')",,8.0
baja,400.0,barco_2,,,,,escalon_2_00036_p8,"('sandviken', 'bryggen')",,8.0
baja,400.0,barco_2,,,,,escalon_2_00036_p9,"('sandviken', 'bryggen')",,8.0
baja,400.0,barco_2,,,,,escalon_2_00036_p10,"('sandviken', 'bryggen')",,8.0
baja,400.0,barco_2,,,,,escalon_2_00036_p11,"('sandviken', 'bryggen')",,8.0
decision,400.0,barco_2,laksevag,,,,,,,
movimiento,400.0,barco_2,,bryggen,laksevag,0.0,,,,
baja,402.0,barco_1,,,,,escalon_2_00035_p0,"('sandviken', 'laksevag')",,10.0
baja,402.0,barco_1,,,,,escalon_2_00035_p1,"('sandviken', 'laksevag')",,10.0
baja,402.0,barco_1,,,,,escalon_2_00035_p2,"('sandviken', 'laksevag')",,10.0
baja,402.0,barco_1,,,,,escalon_2_00035_p3,"('sandviken', 'laksevag')",,10.0
baja,402.0,barco_1,,,,,escalon_2_00035_p4,"('sandviken', 'laksevag')",,10.0
baja,402.0,barco_1,,,,,escalon_2_00035_p5,"('sandviken', 'laksevag')",,10.0
baja,402.0,barco_1,,,,,escalon_2_00035_p6,"('sandviken', 'laksevag')",,10.0
baja,402.0,barco_1,,,,,escalon_2_00035_p7,"('sandviken', 'laksevag')",,10.0
baja,402.0,barco_1,,,,,escalon_2_00035_p8,"('sandviken', 'laksevag')",,10.0
baja,402.0,barco_1,,,,,escalon_2_00035_p9,"('sandviken', 'laksevag')",,10.0
baja,402.0,barco_1,,,,,escalon_2_00035_p10,"('sandviken', 'laksevag')",,10.0
baja,402.0,barco_1,,,,,escalon_2_00035_p11,"('sandviken', 'laksevag')",,10.0
baja,402.0,barco_1,,,,,escalon_2_00035_p12,"('sandviken', 'laksevag')",,10.0
decision,402.0,barco_1,bryggen,,,,,,,
sube,402.0,barco_1,,,,,escalon_2_00022_p0,"('laksevag', 'bryggen')",20.29000000000002,
sube,402.0,barco_1,,,,,escalon_2_00022_p1,"('laksevag', 'bryggen')",20.29000000000002,
sube,402.0,barco_1,,,,,escalon_2_00022_p2,"('laksevag', 'bryggen')",20.29000000000002,
sube,402.0,barco_1,,,,,escalon_2_00022_p3,"('laksevag', 'bryggen')",20.29000000000002,
sube,402.0,barco_1,,,,,escalon_2_00022_p4,"('laksevag', 'bryggen')",20.29000000000002,
sube,402.0,barco_1,,,,,escalon_2_00022_p5,"('laksevag', 'bryggen')",20.29000000000002,
sube,402.0,barco_1,,,,,escalon_2_00021_p0,"('laksevag', 'bryggen')",4.180000000000007,
sube,402.0,barco_1,,,,,escalon_2_00021_p1,"('laksevag', 'bryggen')",4.180000000000007,
sube,402.0,barco_1,,,,,escalon_2_00021_p2,"('laksevag', 'bryggen')",4.180000000000007,
sube,402.0,barco_1,,,,,escalon_2_00021_p3,"('laksevag', 'bryggen')",4.180000000000007,
sube,402.0,barco_1,,,,,escalon_2_00021_p4,"('laksevag', 'bryggen')",4.180000000000007,
movimiento,402.0,barco_1,,laksevag,bryggen,11.0,,,,
decision,404.0,barco_0,kleppesto,,,,,,,
movimiento,404.0,barco_0,,laksevag,kleppesto,0.0,,,,
decision,410.0,barco_0,bryggen,,,,,,,
sube,410.0,barco_0,,,,,escalon_2_00007_p0,"('kleppesto', 'bryggen')",9.019999999999982,
sube,410.0,barco_0,,,,,escalon_2_00007_p1,"('kleppesto', 'bryggen')",9.019999999999982,
sube,410.0,barco_0,,,,,escalon_2_00007_p2,"('kleppesto', 'bryggen')",9.019999999999982,
sube,410.0,barco_0,,,,,escalon_2_00007_p3,"('kleppesto', 'bryggen')",9.019999999999982,
sube,410.0,barco_0,,,,,escalon_2_00007_p4,"('kleppesto', 'bryggen')",9.019999999999982,
sube,410.0,barco_0,,,,,escalon_2_00007_p5,"('kleppesto', 'bryggen')",9.019999999999982,
