par,generadas,atendidas,sin_atender_al_final,pct_atendidas,espera_media_min,espera_maxima_min,viaje_medio_min,sistema_medio_min,sistema_maximo_min
kleppesto->laksevag,102,102,0,100.0,11.18901960784314,19.75,6.0,17.18901960784314,25.75
kleppesto->bryggen,210,210,0,100.0,9.453238095238088,27.05000000000001,12.0,21.45323809523809,39.05000000000001
kleppesto->sandviken,42,42,0,100.0,22.66404761904761,43.620000000000005,10.0,32.66404761904761,53.620000000000005
laksevag->kleppesto,77,77,0,100.0,13.027792207792224,26.319999999999993,6.0,19.027792207792224,32.31999999999999
laksevag->bryggen,87,87,0,100.0,15.374482758620694,29.670000000000016,10.0,25.374482758620694,39.670000000000016
laksevag->sandviken,22,22,0,100.0,8.083181818181815,11.389999999999986,10.0,18.083181818181814,21.389999999999986
bryggen->kleppesto,184,184,0,100.0,6.967391304347832,20.75,12.0,18.967391304347835,32.75
bryggen->laksevag,112,112,0,100.0,7.977142857142842,29.549999999999955,10.0,17.97714285714284,39.549999999999955
bryggen->sandviken,125,125,0,100.0,10.885199999999992,24.960000000000036,8.0,18.88519999999999,32.960000000000036
sandviken->kleppesto,9,9,0,100.0,15.759999999999991,15.759999999999991,10.0,25.75999999999999,25.75999999999999
sandviken->laksevag,42,42,0,100.0,14.120476190476206,27.350000000000023,10.0,24.120476190476204,37.35000000000002
sandviken->bryggen,94,94,0,100.0,12.074893617021267,31.579999999999984,8.0,20.074893617021267,39.579999999999984
