tipo,minuto,barco_id,decision,desde,hasta,ocupacion,unidad_id,par,tiempo_espera,tiempo_viaje
decision,360.0,barco_0,esperar,,,,,,,
decision,360.0,barco_1,esperar,,,,,,,
decision,360.0,barco_2,esperar,,,,,,,
decision,362.0,barco_0,esperar,,,,,,,
decision,362.0,barco_1,esperar,,,,,,,
decision,362.0,barco_2,esperar,,,,,,,
decision,364.0,barco_0,laksevag,,,,,,,
movimiento,364.0,barco_0,,bryggen,laksevag,0.0,,,,
decision,364.0,barco_1,laksevag,,,,,,,
movimiento,364.0,barco_1,,bryggen,laksevag,0.0,,,,
decision,364.0,barco_2,laksevag,,,,,,,
movimiento,364.0,barco_2,,bryggen,laksevag,0.0,,,,
decision,374.0,barco_0,bryggen,,,,,,,
sube,374.0,barco_0,,,,,0_00014_p0,"('laksevag', 'bryggen')",11.509999999999991,
sube,374.0,barco_0,,,,,0_00014_p1,"('laksevag', 'bryggen')",11.509999999999991,
sube,374.0,barco_0,,,,,0_00014_p2,"('laksevag', 'bryggen')",11.509999999999991,
sube,374.0,barco_0,,,,,0_00014_p3,"('laksevag', 'bryggen')",11.509999999999991,
sube,374.0,barco_0,,,,,0_00014_p4,"('laksevag', 'bryggen')",11.509999999999991,
sube,374.0,barco_0,,,,,0_00014_p5,"('laksevag', 'bryggen')",11.509999999999991,
sube,374.0,barco_0,,,,,0_00014_p6,"('laksevag', 'bryggen')",11.509999999999991,
sube,374.0,barco_0,,,,,0_00014_p7,"('laksevag', 'bryggen')",11.509999999999991,
sube,374.0,barco_0,,,,,0_00016_p0,"('laksevag', 'bryggen')",9.949999999999989,
sube,374.0,barco_0,,,,,0_00016_p1,"('laksevag', 'bryggen')",9.949999999999989,
sube,374.0,barco_0,,,,,0_00016_p2,"('laksevag', 'bryggen')",9.949999999999989,
sube,374.0,barco_0,,,,,0_00016_p3,"('laksevag', 'bryggen')",9.949999999999989,
sube,374.0,barco_0,,,,,0_00016_p4,"('laksevag', 'bryggen')",9.949999999999989,
movimiento,374.0,barco_0,,laksevag,bryggen,13.0,,,,
decision,374.0,barco_1,kleppesto,,,,,,,
movimiento,374.0,barco_1,,laksevag,kleppesto,0.0,,,,
decision,374.0,barco_2,kleppesto,,,,,,,
movimiento,374.0,barco_2,,laksevag,kleppesto,0.0,,,,
decision,380.0,barco_1,laksevag,,,,,,,
sube,380.0,barco_1,,,,,0_00002_p0,"('kleppesto', 'laksevag')",9.490000000000009,
sube,380.0,barco_1,,,,,0_00002_p1,"('kleppesto', 'laksevag')",9.490000000000009,
sube,380.0,barco_1,,,,,0_00002_p2,"('kleppesto', 'laksevag')",9.490000000000009,
sube,380.0,barco_1,,,,,0_00002_p3,"('kleppesto', 'laksevag')",9.490000000000009,
sube,380.0,barco_1,,,,,0_00002_p4,"('kleppesto', 'laksevag')",9.490000000000009,
sube,380.0,barco_1,,,,,0_00002_p5,"('kleppesto', 'laksevag')",9.490000000000009,
movimiento,380.0,barco_1,,kleppesto,laksevag,6.0,,,,
decision,380.0,barco_2,sandviken,,,,,,,
movimiento,380.0,barco_2,,kleppesto,sandviken,0.0,,,,
baja,384.0,barco_0,,,,,0_00014_p0,"('laksevag', 'bryggen')",,10.0
baja,384.0,barco_0,,,,,0_00014_p1,"('laksevag', 'bryggen')",,10.0
baja,384.0,barco_0,,,,,0_00014_p2,"('laksevag', 'bryggen')",,10.0
baja,384.0,barco_0,,,,,0_00014_p3,"('laksevag', 'bryggen')",,10.0
baja,384.0,barco_0,,,,,0_00014_p4,"('laksevag', 'bryggen')",,10.0
baja,384.0,barco_0,,,,,0_00014_p5,"('laksevag', 'bryggen')",,10.0
baja,384.0,barco_0,,,,,0_00014_p6,"('laksevag', 'bryggen')",,10.0
baja,384.0,barco_0,,,,,0_00014_p7,"('laksevag', 'bryggen')",,10.0
baja,384.0,barco_0,,,,,0_00016_p0,"('laksevag', 'bryggen')",,10.0
baja,384.0,barco_0,,,,,0_00016_p1,"('laksevag', 'bryggen')",,10.0
baja,384.0,barco_0,,,,,0_00016_p2,"('laksevag', 'bryggen')",,10.0
baja,384.0,barco_0,,,,,0_00016_p3,"('laksevag', 'bryggen')",,10.0
baja,384.0,barco_0,,,,,0_00016_p4,"('laksevag', 'bryggen')",,10.0
decision,384.0,barco_0,sandviken,,,,,,,
movimiento,384.0,barco_0,,bryggen,sandviken,0.0,,,,
baja,386.0,barco_1,,,,,0_00002_p0,"('kleppesto', 'laksevag')",,6.0
baja,386.0,barco_1,,,,,0_00002_p1,"('kleppesto', 'laksevag')",,6.0
baja,386.0,barco_1,,,,,0_00002_p2,"('kleppesto', 'laksevag')",,6.0
baja,386.0,barco_1,,,,,0_00002_p3,"('kleppesto', 'laksevag')",,6.0
baja,386.0,barco_1,,,,,0_00002_p4,"('kleppesto', 'laksevag')",,6.0
baja,386.0,barco_1,,,,,0_00002_p5,"('kleppesto', 'laksevag')",,6.0
decision,386.0,barco_1,bryggen,,,,,,,
sube,386.0,barco_1,,,,,0_00015_p0,"('laksevag', 'bryggen')",11.100000000000023,
sube,386.0,barco_1,,,,,0_00015_p1,"('laksevag', 'bryggen')",11.100000000000023,
sube,386.0,barco_1,,,,,0_00015_p2,"('laksevag', 'bryggen')",11.100000000000023,
sube,386.0,barco_1,,,,,0_00015_p3,"('laksevag', 'bryggen')",11.100000000000023,
movimiento,386.0,barco_1,,laksevag,bryggen,4.0,,,,
decision,390.0,barco_2,bryggen,,,,,,,
sube,390.0,barco_2,,,,,0_00027_p0,"('sandviken', 'bryggen')",15.160000000000025,
sube,390.0,barco_2,,,,,0_00027_p1,"('sandviken', 'bryggen')",15.160000000000025,
sube,390.0,barco_2,,,,,0_00027_p2,"('sandviken', 'bryggen')",15.160000000000025,
sube,390.0,barco_2,,,,,0_00027_p3,"('sandviken', 'bryggen')",15.160000000000025,
sube,390.0,barco_2,,,,,0_00027_p4,"('sandviken', 'bryggen')",15.160000000000025,
sube,390.0,barco_2,,,,,0_00027_p5,"('sandviken', 'bryggen')",15.160000000000025,
sube,390.0,barco_2,,,,,0_00027_p6,"('sandviken', 'bryggen')",15.160000000000025,
sube,390.0,barco_2,,,,,0_00027_p7,"('sandviken', 'bryggen')",15.160000000000025,
