minuto,incomodidad,movimiento,entrega,total
362.0,0.0,0.0,0.0,0.0
364.0,0.0,0.0,0.0,0.0
366.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
368.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
370.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
372.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
374.0,0.0,0.0,0.0,0.0
376.0,0.0562987654320981,0.30000000000000004,0.0,-0.35629876543209815
378.0,0.3628805555555532,0.30000000000000004,0.0,-0.6628805555555533
380.0,0.9904114197530827,0.1,0.0,-1.0904114197530828
382.0,1.938929938271599,0.30000000000000004,0.0,-2.238929938271599
384.0,0.04111296296296347,0.2,0.0,-0.24111296296296347
386.0,0.0,0.2,0.0,-0.2
388.0,0.05231604938271828,0.30000000000000004,0.0,-0.3523160493827183
390.0,0.396019753086426,0.2,0.0,-0.596019753086426
392.0,1.0607111111111212,0.2,0.0,-1.260711111111121
394.0,2.0463901234568045,0.2,0.0,-2.2463901234568047
396.0,2.330711111111124,0.2,0.0,-2.530711111111124
398.0,0.0,0.2,0.0,-0.2
400.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
402.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
404.0,0.0,0.2,0.0,-0.2
406.0,0.004977777777778155,0.30000000000000004,0.0,-0.3049777777777782
408.0,0.13287901234568095,0.2,0.0,-0.33287901234568096
410.0,0.4716583333333366,0.2,0.0,-0.6716583333333366
412.0,1.1272416666666711,0.30000000000000004,0.0,-1.4272416666666712
414.0,2.286624382716056,0.30000000000000004,0.0,-2.5866243827160558
416.0,1.6163379629629626,0.2,0.0,-1.8163379629629626
418.0,2.8700416666666673,0.30000000000000004,0.0,-3.170041666666667
420.0,4.545686111111108,0.1,0.0,-4.645686111111107
422.0,6.863093518518518,0.30000000000000004,0.0,-7.163093518518518
424.0,9.847167592592594,0.2,0.0,-10.047167592592594
426.0,13.497908333333339,0.30000000000000004,0.0,-13.79790833333334
428.0,8.78385493827161,0.1,0.0,-8.88385493827161
430.0,10.047348148148142,0.30000000000000004,0.0,-10.347348148148143
432.0,10.545125925925932,0.30000000000000004,0.0,-10.845125925925933
434.0,11.703644444444462,0.2,0.0,-11.903644444444462
436.0,13.627209259259265,0.30000000000000004,0.0,-13.927209259259266
438.0,16.678753395061737,0.2,0.0,-16.878753395061736
440.0,6.601287345679032,0.1,0.0,-6.701287345679032
442.0,10.26931203703707,0.30000000000000004,0.0,-10.56931203703707
444.0,13.526186111111132,0.2,0.0,-13.726186111111131
446.0,1.7460018518518445,0.1,0.0,-1.8460018518518446
448.0,2.5393351851851764,0.2,0.0,-2.7393351851851766
450.0,3.4808166666666556,0.1,0.0,-3.5808166666666557
452.0,4.570446296296285,0.1,0.0,-4.6704462962962845
454.0,5.80822407407406,0.1,0.0,-5.9082240740740595
456.0,0.0,0.1,0.0,-0.1
458.0,0.0,0.1,0.0,-0.1
460.0,0.0,0.1,0.0,-0.1
462.0,0.0,0.1,0.0,-0.1
464.0,0.0,0.0,0.0,0.0
466.0,0.0,0.0,0.0,0.0
468.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
470.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
472.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
474.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
476.0,0.0,0.0,0.0,0.0
478.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
480.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
482.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
484.0,0.017114506172838526,0.30000000000000004,0.0,-0.3171145061728386
486.0,0.249336728395058,0.1,0.0,-0.349336728395058
488.0,0.7531638888888823,0.2,0.0,-0.9531638888888823
490.0,1.5285959876543114,0.2,0.0,-1.7285959876543113
492.0,2.647883024691342,0.30000000000000004,0.0,-2.9478830246913423
494.0,0.3845956790123397,0.2,0.0,-0.5845956790123397
496.0,0.0,0.2,0.0,-0.2
498.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
