barco_id,movimientos,tiempo_navegado_min,ocupacion_media,ocupacion_maxima,pct_ocioso,ruta_mas_frecuente
barco_0,18,130,4.758241758241758,19,28.57142857142857,bryggen->laksevag (4x)
barco_1,17,136,3.868131868131868,20,25.274725274725274,bryggen->laksevag (3x)
