minuto,incomodidad,movimiento,total
362.0,0.0,0.0,-0.0
364.0,0.0,0.0,-0.0
366.0,0.0,0.0,-0.0
368.0,0.0,0.0,-0.0
370.0,0.0,0.2,-0.2
372.0,0.0,0.2,-0.2
374.0,0.0,0.2,-0.2
376.0,0.0,0.2,-0.2
378.0,0.0,0.0,-0.0
380.0,0.039410493827160185,0.1,-0.1394104938271602
382.0,0.3743762345679015,0.2,-0.5743762345679015
384.0,1.1742527777777794,0.2,-1.3742527777777793
386.0,2.443265123456793,0.2,-2.643265123456793
388.0,0.0,0.1,-0.1
390.0,0.0,0.1,-0.1
392.0,0.049807407407406586,0.2,-0.2498074074074066
394.0,0.24536296296296115,0.2,-0.4453629629629612
396.0,0.5890666666666639,0.1,-0.6890666666666638
398.0,0.0,0.1,-0.1
400.0,0.0,0.2,-0.2
402.0,0.0,0.2,-0.2
404.0,0.0,0.1,-0.1
406.0,0.0,0.2,-0.2
408.0,0.0872691358024687,0.1,-0.1872691358024687
410.0,0.3719604938271597,0.2,-0.5719604938271596
412.0,0.9625777777777791,0.2,-1.162577777777779
414.0,2.048543209876544,0.1,-2.1485432098765442
416.0,3.839654320987652,0.2,-4.039654320987652
418.0,1.9691444444444501,0.1,-2.0691444444444502
420.0,3.301737037037042,0.1,-3.401737037037042
422.0,5.008267901234573,0.2,-5.208267901234573
424.0,7.2541444444444485,0.2,-7.454144444444449
426.0,10.292909876543217,0.2,-10.492909876543216
428.0,14.106737037037014,0.2,-14.306737037037013
430.0,16.98747777777776,0.1,-17.08747777777776
432.0,9.219456790123466,0.1,-9.319456790123466
434.0,10.389827160493832,0.2,-10.589827160493831
436.0,7.05792901234568,0.1,-7.157929012345679
438.0,7.361199382716052,0.2,-7.561199382716052
440.0,7.996014197530866,0.2,-8.196014197530866
442.0,8.993409259259263,0.1,-9.093409259259262
444.0,10.534396913580252,0.2,-10.734396913580252
446.0,12.667977160493834,0.1,-12.767977160493833
448.0,15.394150000000005,0.2,-15.594150000000004
450.0,18.712915432098775,0.2,-18.912915432098774
452.0,22.624273456790142,0.1,-22.724273456790144
454.0,25.548072839506172,0.2,-25.74807283950617
456.0,20.7057901234568,0.1,-20.805790123456802
458.0,22.813473765432118,0.2,-23.013473765432117
460.0,20.893994753086425,0.1,-20.993994753086426
462.0,22.424488580246923,0.2,-22.624488580246922
464.0,24.794488580246927,0.2,-24.994488580246927
466.0,28.003994753086435,0.2,-28.203994753086434
468.0,12.053007098765455,0.1,-12.153007098765455
470.0,16.94152561728398,0.2,-17.14152561728398
472.0,14.411316975308669,0.1,-14.511316975308668
474.0,18.92032932098768,0.2,-19.12032932098768
476.0,22.29828888888892,0.2,-22.49828888888892
478.0,12.213335802469132,0.0,-12.213335802469132
480.0,13.004446913580242,0.2,-13.204446913580242
482.0,13.993088888888884,0.2,-14.193088888888884
484.0,15.179261728395055,0.2,-15.379261728395054
486.0,16.562965432098757,0.2,-16.762965432098756
488.0,7.144199999999992,0.0,-7.144199999999992
490.0,8.0,0.2,-8.2
492.0,8.0,0.2,-8.2
494.0,8.0,0.2,-8.2
496.0,0.0,0.0,-0.0
498.0,0.0,0.2,-0.2
500.0,0.0008641975308640995,0.2,-0.2008641975308641
502.0,0.10456790123456683,0.2,-0.30456790123456684
504.0,0.381111111111109,0.2,-0.581111111111109
506.0,0.8304938271604908,0.1,-0.9304938271604908
508.0,1.4527160493827118,0.1,-1.552716049382712
510.0,2.247777777777772,0.2,-2.4477777777777723
512.0,3.2156790123456727,0.2,-3.415679012345673
514.0,4.3564197530864135,0.2,-4.556419753086414
516.0,5.710230555555544,0.2,-5.910230555555544
518.0,0.2130160493827142,0.0,-0.2130160493827142
520.0,0.5707938271604908,0.2,-0.7707938271604908
522.0,1.167201234567895,0.2,-1.367201234567895
524.0,2.1743617283950516,0.2,-2.3743617283950518
526.0,3.6012753086419624,0.2,-3.8012753086419626
528.0,1.7176419753086323,0.0,-1.7176419753086323
530.0,2.7620864197530755,0.2,-2.9620864197530756
532.0,4.0534444444444295,0.2,-4.25344444444443
534.0,5.5917160493827,0.1,-5.691716049382699
536.0,7.376901234567882,0.1,-7.476901234567881
538.0,9.408999999999976,0.1,-9.508999999999975
540.0,0.0,0.0,-0.0
