tipo,minuto,barco_id,decision,desde,hasta,ocupacion,unidad_id,par,tiempo_espera,tiempo_viaje
decision,360.0,barco_0,esperar,,,,,,,
decision,360.0,barco_1,esperar,,,,,,,
decision,362.0,barco_0,esperar,,,,,,,
decision,362.0,barco_1,esperar,,,,,,,
decision,364.0,barco_0,esperar,,,,,,,
decision,364.0,barco_1,esperar,,,,,,,
decision,366.0,barco_0,esperar,,,,,,,
decision,366.0,barco_1,esperar,,,,,,,
decision,368.0,barco_0,laksevag,,,,,,,
movimiento,368.0,barco_0,,bryggen,laksevag,0.0,,,,
decision,368.0,barco_1,laksevag,,,,,,,
movimiento,368.0,barco_1,,bryggen,laksevag,0.0,,,,
decision,378.0,barco_0,bryggen,,,,,,,
sube,378.0,barco_0,,,,,escalon_1_00013_p0,"('laksevag', 'bryggen')",11.129999999999995,
sube,378.0,barco_0,,,,,escalon_1_00013_p1,"('laksevag', 'bryggen')",11.129999999999995,
sube,378.0,barco_0,,,,,escalon_1_00013_p2,"('laksevag', 'bryggen')",11.129999999999995,
sube,378.0,barco_0,,,,,escalon_1_00013_p3,"('laksevag', 'bryggen')",11.129999999999995,
sube,378.0,barco_0,,,,,escalon_1_00013_p4,"('laksevag', 'bryggen')",11.129999999999995,
sube,378.0,barco_0,,,,,escalon_1_00013_p5,"('laksevag', 'bryggen')",11.129999999999995,
sube,378.0,barco_0,,,,,escalon_1_00013_p6,"('laksevag', 'bryggen')",11.129999999999995,
sube,378.0,barco_0,,,,,escalon_1_00013_p7,"('laksevag', 'bryggen')",11.129999999999995,
sube,378.0,barco_0,,,,,escalon_1_00013_p8,"('laksevag', 'bryggen')",11.129999999999995,
sube,378.0,barco_0,,,,,escalon_1_00013_p9,"('laksevag', 'bryggen')",11.129999999999995,
sube,378.0,barco_0,,,,,escalon_1_00012_p0,"('laksevag', 'bryggen')",9.610000000000014,
sube,378.0,barco_0,,,,,escalon_1_00012_p1,"('laksevag', 'bryggen')",9.610000000000014,
sube,378.0,barco_0,,,,,escalon_1_00012_p2,"('laksevag', 'bryggen')",9.610000000000014,
sube,378.0,barco_0,,,,,escalon_1_00012_p3,"('laksevag', 'bryggen')",9.610000000000014,
sube,378.0,barco_0,,,,,escalon_1_00012_p4,"('laksevag', 'bryggen')",9.610000000000014,
sube,378.0,barco_0,,,,,escalon_1_00012_p5,"('laksevag', 'bryggen')",9.610000000000014,
sube,378.0,barco_0,,,,,escalon_1_00012_p6,"('laksevag', 'bryggen')",9.610000000000014,
sube,378.0,barco_0,,,,,escalon_1_00012_p7,"('laksevag', 'bryggen')",9.610000000000014,
sube,378.0,barco_0,,,,,escalon_1_00012_p8,"('laksevag', 'bryggen')",9.610000000000014,
movimiento,378.0,barco_0,,laksevag,bryggen,19.0,,,,
decision,378.0,barco_1,esperar,,,,,,,
decision,380.0,barco_1,sandviken,,,,,,,
movimiento,380.0,barco_1,,laksevag,sandviken,0.0,,,,
baja,388.0,barco_0,,,,,escalon_1_00013_p0,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00013_p1,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00013_p2,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00013_p3,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00013_p4,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00013_p5,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00013_p6,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00013_p7,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00013_p8,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00013_p9,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00012_p0,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00012_p1,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00012_p2,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00012_p3,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00012_p4,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00012_p5,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00012_p6,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00012_p7,"('laksevag', 'bryggen')",,10.0
baja,388.0,barco_0,,,,,escalon_1_00012_p8,"('laksevag', 'bryggen')",,10.0
decision,388.0,barco_0,sandviken,,,,,,,
movimiento,388.0,barco_0,,bryggen,sandviken,0.0,,,,
decision,390.0,barco_1,bryggen,,,,,,,
sube,390.0,barco_1,,,,,escalon_1_00020_p0,"('sandviken', 'bryggen')",11.639999999999986,
sube,390.0,barco_1,,,,,escalon_1_00020_p1,"('sandviken', 'bryggen')",11.639999999999986,
sube,390.0,barco_1,,,,,escalon_1_00020_p2,"('sandviken', 'bryggen')",11.639999999999986,
sube,390.0,barco_1,,,,,escalon_1_00020_p3,"('sandviken', 'bryggen')",11.639999999999986,
sube,390.0,barco_1,,,,,escalon_1_00020_p4,"('sandviken', 'bryggen')",11.639999999999986,
sube,390.0,barco_1,,,,,escalon_1_00020_p5,"('sandviken', 'bryggen')",11.639999999999986,
movimiento,390.0,barco_1,,sandviken,bryggen,6.0,,,,
decision,396.0,barco_0,bryggen,,,,,,,
sube,396.0,barco_0,,,,,escalon_1_00021_p0,"('sandviken', 'bryggen')",1.25,
sube,396.0,barco_0,,,,,escalon_1_00021_p1,"('sandviken', 'bryggen')",1.25,
sube,396.0,barco_0,,,,,escalon_1_00021_p2,"('sandviken', 'bryggen')",1.25,
sube,396.0,barco_0,,,,,escalon_1_00021_p3,"('sandviken', 'bryggen')",1.25,
sube,396.0,barco_0,,,,,escalon_1_00021_p4,"('sandviken', 'bryggen')",1.25,
sube,396.0,barco_0,,,,,escalon_1_00021_p5,"('sandviken', 'bryggen')",1.25,
