#{"t_start": 1788351415.8851364, "env_id": "None"}
r,l,t
-3613.028533,90,391.097366
-1884.28048,90,391.490445
-2033.242772,90,391.818804
-5117.947079,90,392.185456
-1094.82844,90,392.599428
-1945.239209,90,393.003634
-1774.86051,90,393.40463
-688.510548,90,393.633097
-3413.306448,90,394.010851
-1561.244622,90,394.384893
-2210.516602,90,394.666821
-1821.082566,90,394.99193
-930.296798,90,395.300745
-2323.793274,90,395.613628
-2133.166042,90,396.074206
-1948.784264,90,396.481499
-3685.605531,90,396.879884
-762.417201,90,397.216699
-2067.097415,90,397.503128
-1656.585036,90,397.799002
-2293.153098,90,398.327505
-1336.110878,90,398.628052
-3139.671222,90,400.643633
-4152.796881,90,400.982379
-1181.316439,90,401.261461
-1402.581117,90,401.575744
-1087.653718,90,401.860331
-2629.457541,90,402.179325
-2573.942965,90,402.546823
-1843.591577,90,402.838263
-1603.532269,90,403.215301
-2982.386261,90,403.54473
-1467.663891,90,403.943083
-3705.96653,90,404.2679
-1654.266815,90,404.647241
-2438.599954,90,405.034697
-1447.81172,90,405.305922
-1211.298806,90,405.698215
-3055.314812,90,406.105799
-1759.296802,90,406.379191
-1257.051152,90,406.623712
-2079.524455,90,406.96205
-1372.979631,90,407.327242
-1573.598313,90,407.632228
-1947.611062,90,407.971137
-1979.530002,90,409.901705
-1633.245632,90,410.260105
-2044.647329,90,410.599665
-2858.610178,90,410.882344
-3200.963635,90,411.187756
-1956.17858,90,411.447275
-1584.258114,90,411.914171
-2132.372709,90,412.273215
-3306.621587,90,412.723741
-4560.087592,90,413.166007
-1267.790567,90,413.465276
-5030.994392,90,413.866849
-1329.402783,90,414.32426
-1426.644638,90,414.639738
-2157.071075,90,414.960104
-1511.370375,90,415.320222
-1276.889487,90,415.617931
-1815.752618,90,415.952156
-4197.729915,90,416.369454
-4031.73507,90,416.73473
-1957.91186,90,417.164312
-3312.710531,90,417.536051
-1255.242989,90,417.870266
-5475.309789,90,419.893882
-1288.346937,90,420.295071
-1895.429673,90,420.715625
-1845.449252,90,421.178707
-2493.953949,90,421.508743
-786.758179,90,421.878892
-2012.457391,90,422.295852
-1743.183026,90,422.762575
