barco_id,decisiones_totales_agente,veces_espero_agente,pct_espero_agente,veces_espero_con_demanda_local_agente,decisiones_totales_base,veces_espero_base,pct_espero_base,veces_espero_con_demanda_local_base
barco_0,130,31,23.846153846153847,11,143,64,44.75524475524475,7
barco_1,108,0,0.0,0,152,76,50.0,15
