semilla,reward_agente,reward_base,diferencia
1001,-2364.594621296296,-127.9011219135801,-2236.693499382716
1002,-2891.414617283951,-448.9568858024692,-2442.457731481482
1003,-5196.2424345679,-274.825812037037,-4921.416622530863
1004,-3752.748839814815,-1481.3259777777778,-2271.422862037037
1005,-3708.756304012347,-111.45242283950631,-3597.3038811728406
